Spec, Architecture, CNF, #Layers, Epochs, Batch Size, Learning Rate, K, No. of Inputs, No. of Outputs, No. of Counter Example Loops, Result, BNSynth Time, Manthan Time, Final Loss, Loss Drop, Accuracy, No. of Clauses pre simplification (BNSynth), No. of Clauses post simplification (BNSynth), No. of Chars pre simplification (BNSynth), No. of Chars post simplification (BNSynth), No. Input vars in SKF (BNSynth), No. of Literals pre simplification (BNSynth), No. of Literals post simplification (BNSynth), No. of Clauses pre simplification (Manthan), No. of Clauses post simplification (Manthan), No. of Chars pre simplification (Manthan), No. of Chars post simplification (Manthan), No. Input vars in SKF (Manthan), No. of Literals pre simplification (Manthan), No. of Literals post simplification (Manthan)
xor_2_4.v, 1, 1, 1, 58, 1, 0.01, 5, 2, 4, 6, Valid, 48.936279296875, 1.7966880798339844, 0.3506922288360347, 1.2036578371842483, 4.0, 11, 5, 179, 49, 2, 15, 7, 15, 15, 143, 200, 2, 28, 28
misc4_2_3.v, 1, 1, 1, 26, 1, 0.01, 5, 2, 3, 0, Valid, 2.2802798748016357, 1.790867567062378, 0.2914875421675644, 0.5282201702703955, 3.0, 5, 4, 69, 29, 2, 6, 4, 13, 13, 113, 169, 2, 24, 23
xnor-implies_6_2.v, 1, 1, 1, 122, 1, 0.01, 50, 6, 2, 0, Valid, 26.179101943969727, 2.695793390274048, 0.11253461149336501, 17.894956307105886, 2.0, 56, 51, 2283, 1593, 6, 254, 238, 237, 236, 4574, 4315, 6, 749, 747
xor_5_3.v, 1, 1, 1, 45, 1, 0.01, 20, 5, 3, 3, Valid, 55.16298007965088, 2.243946075439453, 0.442142188049521, 5.324267404860096, 3.0, 34, 21, 1028, 551, 5, 113, 82, 548, 546, 21519, 9215, 5, 2632, 2628
multiplexer_1_1.v, 1, 1, 1, 1, 1, 0.01, 1, 1, 1, 0, Valid, 0.43646955490112305, 1.640913724899292, 0.023717069718881285, 0.0, 1.0, 1, 1, 14, 4, 0, 1, 1, 1, 1, 4, 4, 0, 1, 1
xor_4_2.v, 1, 1, 1, 35, 1, 0.01, 20, 4, 2, 1, Valid, 14.940800428390503, 2.1381773948669434, 0.3762890549673423, 3.9375356319986756, 2.0, 20, 9, 668, 217, 4, 58, 33, 57, 57, 1170, 1453, 4, 213, 213
xnor_7_1.v, 1, 1, 1, 183, 1, 0.01, 500, 7, 1, 0, Valid, 71.56506896018982, 2.550682306289673, 0.08394929263006103, 37.79413406676386, 1.0, 64, 64, 3188, 2724, 7, 448, 448, 88, 88, 2763, 2063, 7, 271, 271
misc2_3_1.v, 1, 1, 1, 16, 1, 0.01, 1, 3, 1, 0, Valid, 1.4952194690704346, 1.6553378105163574, 0.44510788453468314, 2.525143478840528, 1.0, 1, 1, 7, 7, 1, 1, 1, 2, 2, 30, 34, 3, 4, 4
misc1_2_1.v, 1, 1, 1, 9, 1, 0.01, 1, 2, 1, 0, Valid, 0.9300289154052734, 1.648144006729126, 0.5177633024044371, 0.1862428396367145, 1.0, 1, 1, 2, 2, 1, 1, 1, 2, 2, 10, 10, 2, 2, 2
xor_2_2.v, 1, 1, 1, 31, 1, 0.01, 5, 2, 2, 6, Valid, 39.95843315124512, 1.7339599132537842, 0.4753453871400738, 0.7435157972912957, 2.0, 4, 3, 49, 39, 2, 6, 5, 4, 4, 49, 28, 2, 4, 4
xor_8_8.v, 1, 1, 1, 146, 1, 0.01, 1000, 8, 8, 2, Valid, 403.8100657463074, 7.635741710662842, 0.16239247266269935, 63.79843290794828, 8.0, 684, 680, 48212, 28693, 8, 4750, 4720, 1475, 1475, 54436, 16283, 8, 6697, 6697
xor_2_3.v, 1, 1, 1, 20, 1, 0.01, 5, 2, 3, 2, Valid, 13.717410564422607, 1.7729096412658691, 0.5451158244444719, 0.5610842667133146, 3.0, 7, 4, 82, 44, 2, 9, 6, 5, 5, 53, 32, 2, 5, 5
mirror_20_20.v, 1, 1, 1, 40, 1, 0.01, 5, 20, 20, 0, Valid, 87.54587864875793, 1.951145887374878, 0.0033404053814801065, 26.76693932407455, 20.0, 38, 20, 488, 50, 20, 72, 20, 20, 20, 50, 50, 20, 20, 20
xor_5_2.v, 1, 1, 1, 82, 1, 0.01, 20, 5, 2, 0, Valid, 11.77747130393982, 2.556509256362915, 0.46351138159067273, 8.972102964363119, 2.0, 25, 17, 763, 513, 5, 97, 81, 142, 141, 2029, 3705, 5, 472, 470
misc3_2_3.v, 1, 1, 1, 25, 1, 0.01, 5, 2, 3, 3, Valid, 15.92677092552185, 1.7657208442687988, 0.2598350545466539, 0.8490580823192346, 3.0, 9, 3, 137, 17, 1, 14, 3, 13, 13, 101, 181, 2, 26, 26
xnor_6_2.v, 1, 1, 1, 185, 1, 0.01, 50, 6, 2, 0, Valid, 42.675068855285645, 2.6460812091827393, 0.3483544616795653, 16.690364571723226, 2.0, 58, 51, 1986, 1453, 6, 253, 232, 161, 160, 3586, 4780, 6, 596, 594
LUT1.v, 1, 1, 1, 22, 1, 0.01, 5, 2, 2, 1, Valid, 6.124312400817871, 1.73822021484375, 0.5621652876623491, 0.7642723930086224, 2.0, 5, 3, 64, 37, 2, 8, 4, 2, 2, 6, 6, 1, 2, 2
xor_3_3.v, 1, 1, 1, 25, 1, 0.01, 20, 3, 3, 2, Valid, 13.800438165664673, 1.8593549728393555, 0.6808491092227504, 1.727824227339749, 3.0, 22, 6, 604, 96, 3, 46, 14, 91, 91, 907, 2294, 3, 309, 309
xor-implies_6_2.v, 1, 1, 1, 56, 1, 0.01, 500, 7, 1, 0, Valid, 16.412174224853516, 2.756478786468506, 0.8842476457813041, 29.424328457055214, 1.0, 32, 32, 4642, 1284, 7, 224, 224, 83, 83, 2774, 1945, 7, 258, 258
xor-implies_8_8.v, 1, 1, 1, 178, 1, 0.01, 1000, 8, 8, 0, Valid, 128.88950109481812, 5.965933084487915, 0.006529783291231327, 149.3050502752535, 8.0, 621, 568, 35840, 21396, 8, 3857, 3727, 114, 114, 5607, 2595, 8, 340, 340
xor_7_1.v, 1, 1, 1, 262, 1, 0.01, 500, 7, 1, 0, Valid, 104.88278532028198, 2.5609850883483887, 0.4950205413051192, 37.172526880951416, 1.0, 64, 64, 2960, 2724, 7, 448, 448, 83, 83, 2774, 1945, 7, 258, 258
xor_6_2.v, 1, 1, 1, 113, 1, 0.01, 50, 6, 2, 0, Valid, 24.096582412719727, 2.670821189880371, 0.589699760342604, 16.646622422559687, 2.0, 56, 52, 1961, 1570, 6, 259, 242, 180, 179, 3815, 3815, 6, 605, 603
multiplexer_3_3.v, 1, 1, 1, 32, 1, 0.01, 5, 3, 3, 0, Valid, 2.922865152359009, 1.739689588546753, 0.5961113873216655, 1.2619476258341378, 3.0, 10, 8, 214, 128, 3, 21, 14, 6, 6, 58, 52, 3, 7, 7
mirror_5_5.v, 1, 1, 1, 18, 1, 0.01, 1, 5, 5, 0, Valid, 2.6809020042419434, 1.6417086124420166, 1.4921512558865255, 13.396134638058612, 5.0, 5, 5, 10, 10, 5, 5, 5, 5, 5, 10, 10, 5, 5, 5
xor_1_4.v, 1, 1, 1, 47, 1, 0.01, 5, 1, 4, 4, Valid, 29.954481840133667, 1.6848695278167725, 0.45455306000239737, 0.0, 4.0, 4, 4, 50, 20, 1, 4, 4, 4, 4, 20, 20, 1, 4, 4
adder_4_9.v, 1, 1, 1, 80, 1, 0.01, 20, 4, 9, 2, Valid, 57.646679639816284, 2.114905834197998, 0.28165411254777567, 4.5043796196882155, 9.0, 42, 27, 1764, 419, 4, 111, 68, 1177, 1176, 69750, 16928, 0, 5096, 5093
xor_4_3.v, 1, 1, 1, 46, 1, 0.01, 20, 4, 3, 1, Valid, 13.51323127746582, 2.125739574432373, 0.3790721576468856, 4.4686729707484405, 3.0, 26, 17, 714, 316, 4, 64, 45, 119, 119, 2043, 3575, 4, 523, 523
c17.v, 1, 1, 1, 12, 1, 0.01, 5, 5, 2, 0, Valid, 1.9376227855682373, 1.7458512783050537, 0.0014420362007109492, 0.0, 2.0, 6, 6, 106, 106, 4, 12, 12, 8, 7, 84, 118, 5, 21, 18
xor_6_10.v, 1, 1, 1, 215, 1, 0.01, 50, 6, 10, 0, Valid, 51.06720280647278, 3.623647928237915, 0.902875630209033, 9.420659960448505, 10.0, 170, 155, 8621, 4740, 6, 797, 731, 9826, 9825, 242777, 33641, 6, 62465, 62462
xor_6_26.v, 1, 1, 1, 533, 1, 0.01, 50, 6, 26, 0, Valid, 169.77220559120178, 5.290783882141113, 0.7298944190618974, 10.1902492115611, 26.0, 385, 359, 22675, 11988, 6, 1963, 1888, 94267, 94262, 888148, 109943, 6, 754289, 754276
LUT4_5_2.v, 1, 1, 1, 5, 1, 0.01, 10, 5, 2, 0, Valid, 0.9652326107025146, 1.8416881561279297, 1.8448285018496757, 6.510347495375013, 2.0, 15, 4, 182, 66, 4, 29, 8, 3, 3, 143, 118, 4, 4, 5
LUT3_5_2.v, 1, 1, 1, 27, 1, 0.01, 10, 5, 2, 0, Valid, 3.855114221572876, 1.8733794689178467, 0.8750831964250638, 6.414540478022964, 2.0, 16, 13, 426, 331, 5, 63, 47, 4, 4, 1049, 789, 5, 5, 7
LUT3_5_2.v, 1, 1, 1, 32, 1, 0.01, 7, 5, 2, 0, Valid, 4.605159044265747, 1.806079626083374, 0.5089512258519906, 8.517153213803184, 2.0, 11, 11, 253, 253, 5, 37, 37, 4, 4, 1049, 789, 5, 5, 7
LUT4_5_2.v, 1, 1, 1, 13, 1, 0.01, 7, 5, 2, 0, Valid, 1.976773738861084, 1.8155436515808105, 0.20088722752673435, 10.47683770791597, 2.0, 9, 4, 139, 74, 4, 19, 9, 3, 3, 143, 118, 4, 4, 5
LUT3_5_2.v, 1, 1, 1, 47, 1, 0.01, 7, 5, 2, 0, Valid, 6.4542036056518555, 1.8408007621765137, 0.2885913814442877, 8.378008821085182, 2.0, 14, 11, 349, 271, 5, 50, 38, 4, 4, 1049, 789, 5, 5, 7
LUT3_5_2.v, 2, 1, 1, 16, 1, 0.01, 20, 5, 2, 0, Valid, 2.4153943061828613, 1.880253553390503, 0.6184325769231279, 7.845505636987308, 1.0, 23, 15, 626, 391, 5, 92, 56, 4, 4, 1049, 789, 5, 5, 7
LUT3_5_2.v, 1, 1, 1, 77, 1, 0.01, 7, 5, 2, 0, Valid, 11.07955527305603, 1.820514440536499, 0.22415611206985245, 8.6370663238228, 2.0, 11, 10, 288, 227, 5, 36, 33, 94, 94, 1049, 2328, 5, 314, 313
LUT4_5_2.v, 1, 1, 1, 11, 1, 0.01, 5, 5, 2, 0, Valid, 1.6795401573181152, 1.8309600353240967, 0.12554447349282102, 10.398527420904841, 2.0, 4, 3, 193, 38, 4, 9, 5, 16, 16, 143, 388, 4, 51, 51
LUT5_5_2.v, 1, 1, 1, 9, 1, 0.01, 5, 5, 2, 0, Valid, 1.4539263248443604, 1.8308124542236328, 0.03233772468985698, 0.27726187291413734, 2.0, 4, 4, 159, 51, 4, 8, 8, 15, 15, 128, 329, 4, 48, 48
LUT5_5_2.v, 1, 1, 1, 13, 1, 0.01, 5, 5, 2, 0, Valid, 1.9143855571746826, 1.795454502105713, 0.025853877029329182, 0.2801573633972909, 2.0, 5, 4, 120, 51, 4, 12, 8, 15, 15, 128, 329, 4, 48, 48
LUT6.v, 1, 1, 1, 22, 1, 0.001, 50, 31, 2, 0, Valid, 104.40278172492981, 1.9393072128295898, 0.001597720572655161, 460.4032698028828, 2.0, 11, 9, 558, 122, 7, 27, 19, 22, 22, 186, 525, 7, 68, 68
LUT6.v, 1, 1, 1, 12, 1, 0.001, 10, 32, 1, 0, Valid, 46.70319700241089, 1.8724145889282227, 0.0032143736371753346, 358.3156346817046, 1.0, 6, 6, 94, 94, 7, 14, 14, 21, 21, 182, 521, 7, 67, 67
LUT6_32_1.v, 1, 1, 1, 7, 1, 0.001, 10, 32, 1, 0, Valid, 25.029783964157104, 1.7643952369689941, 0.5605986556988668, 369.6245206541748, 1.0, 7, 7, 106, 106, 7, 16, 16, 21, 21, 182, 521, 7, 67, 67
xor_5_2.v, 1, 1, 1, 69, 1, 0.001, 500, 5, 2, 0, Valid, 10.37224555015564, 13.80310583114624, 3.6207791682318606, 12.371985273541505, 1.8125, 213, 158, 9697, 5050, 5, 963, 776, 142, 141, 2029, 3705, 5, 472, 470
xor_5_2.v, 1, 1, 1, 195, 1, 0.001, 50, 5, 2, 0, Valid, 32.58748126029968, 5.0598273277282715, 3.661673231213108, 4.633429644082609, 1.625, 231, 132, 2737, 3075, 5, 735, 412, 142, 141, 2029, 3705, 5, 472, 470
xor_8_1.v, 1, 1, 1, 1, 1, 0.001, 100, 8, 1, 31, Valid, 1348.3912553787231, 14.21589708328247, 73.36917817552988, 0.0, 0.50390625, 1292, 1292, 17079, 4515, 8, 5098, 5098, 102, 102, 5590, 2448, 8, 320, 320
xor_5_2.v, 1, 1, 1, 58, 1, 0.01, 50, 5, 2, 0, Valid, 6.723794221878052, 2.52679705619812, 0.44350446681178357, 8.235940896696892, 2.0, 33, 17, 1499, 513, 5, 120, 81, 142, 141, 2029, 3705, 5, 472, 470
xor_5_2.v, 1, 1, 1, 45, 1, 0.01, 50, 5, 2, 0, Valid, 5.261017799377441, 2.514575958251953, 0.3502149868858604, 8.430056226052319, 2.0, 36, 17, 1574, 513, 5, 136, 81, 142, 141, 2029, 3705, 5, 472, 470
xor_5_2.v, 1, 1, 1, 46, 1, 0.01, 50, 5, 2, 0, Valid, 5.236428737640381, 2.53568434715271, 0.27992442576016807, 8.626797089005224, 2.0, 39, 17, 1541, 513, 5, 145, 81, 142, 141, 2029, 3705, 5, 472, 470
xor_5_2.v, 1, 1, 1, 55, 1, 0.01, 50, 5, 2, 0, Valid, 6.3284502029418945, 2.630307912826538, 0.05364502136841715, 8.619568341159084, 2.0, 37, 17, 1490, 513, 5, 125, 81, 142, 141, 2029, 3705, 5, 472, 470
xor_5_2.v, 1, 1, 1, 50, 1, 0.01, 50, 5, 2, 0, Valid, 5.762742280960083, 2.4745583534240723, 0.6548235362881384, 8.658395159721525, 2.0, 37, 17, 1627, 513, 5, 132, 81, 142, 141, 2029, 3705, 5, 472, 470
xor_5_2.v, 1, 1, 1, 52, 1, 0.01, 50, 5, 2, 1, Valid, 9.170002937316895, 2.4251139163970947, 0.06286950526018466, 8.7670371162189, 2.0, 37, 17, 1595, 513, 5, 137, 81, 142, 141, 2029, 3705, 5, 472, 470
